param#0 	 param#1 	 dist 	  wgt 
0.129792 	-0.855517 	30.074061 	0.010000 	
0.118530 	-1.267800 	99.535550 	0.010000 	
0.824258 	-0.870732 	112.775233 	0.010000 	
0.082191 	-0.708647 	27.138710 	0.010000 	
0.529998 	-1.473788 	40.341632 	0.010000 	
0.505878 	-1.798691 	40.397016 	0.010000 	
0.195670 	-1.505844 	86.099928 	0.010000 	
0.770925 	-0.671067 	122.874039 	0.010000 	
0.870551 	-1.039149 	87.187458 	0.010000 	
0.648700 	-1.598037 	59.956430 	0.010000 	
0.493469 	-1.479800 	42.981255 	0.010000 	
0.106309 	-1.286351 	157.281105 	0.010000 	
0.733214 	-0.574762 	119.471216 	0.010000 	
0.372055 	-1.904438 	72.358406 	0.010000 	
0.676318 	-1.040382 	60.632318 	0.010000 	
0.920156 	-0.823658 	144.374617 	0.010000 	
0.490223 	-0.910609 	26.650467 	0.010000 	
0.919582 	-1.323689 	90.656261 	0.010000 	
0.579230 	-1.241437 	49.304424 	0.010000 	
0.256345 	-1.108890 	42.970070 	0.010000 	
0.512530 	-0.630916 	64.365219 	0.010000 	
0.209890 	-1.357061 	65.942906 	0.010000 	
0.158921 	-0.555016 	51.936015 	0.010000 	
0.720280 	-1.117432 	81.977524 	0.010000 	
0.348019 	-0.644560 	50.875407 	0.010000 	
0.738646 	-1.168174 	84.345251 	0.010000 	
0.717920 	-0.612887 	74.733769 	0.010000 	
0.977574 	-0.997215 	113.362845 	0.010000 	
0.313214 	-0.689327 	49.670748 	0.010000 	
0.393477 	-0.892938 	50.209718 	0.010000 	
0.246229 	-1.720125 	72.642142 	0.010000 	
0.615939 	-1.371251 	52.045921 	0.010000 	
0.983045 	-1.324269 	109.202746 	0.010000 	
0.617691 	-0.152685 	146.227651 	0.010000 	
0.273536 	-1.064093 	28.153651 	0.010000 	
0.231955 	-0.535137 	54.836546 	0.010000 	
0.634937 	-1.864539 	40.490186 	0.010000 	
0.725475 	-0.398375 	98.463956 	0.010000 	
0.325781 	-1.389049 	43.724386 	0.010000 	
0.712329 	-1.351643 	66.037232 	0.010000 	
0.346004 	-1.183474 	35.425899 	0.010000 	
0.316590 	-2.004436 	85.033170 	0.010000 	
0.427569 	-1.264933 	36.647457 	0.010000 	
0.082015 	-1.641149 	310.933400 	0.010000 	
0.686179 	-1.121962 	79.621379 	0.010000 	
0.199654 	-1.599704 	118.378149 	0.010000 	
0.462573 	-0.695857 	64.307744 	0.010000 	
0.144013 	-1.748412 	182.534755 	0.010000 	
0.818135 	-0.927786 	86.366661 	0.010000 	
0.453660 	-0.721242 	84.578768 	0.010000 	
0.950147 	-0.887319 	148.508827 	0.010000 	
0.143386 	-0.699582 	52.580391 	0.010000 	
0.059176 	-0.802511 	56.513926 	0.010000 	
0.430561 	-1.107481 	43.831888 	0.010000 	
0.069818 	-0.165978 	95.114976 	0.010000 	
0.482304 	-0.517732 	73.861958 	0.010000 	
0.898331 	-0.179351 	143.908584 	0.010000 	
0.568651 	-1.273988 	55.351929 	0.010000 	
0.254291 	-0.408632 	58.326386 	0.010000 	
0.820502 	-0.742873 	114.564350 	0.010000 	
0.667149 	-0.953521 	72.228826 	0.010000 	
0.500826 	-0.926853 	75.181937 	0.010000 	
0.549659 	-1.343033 	44.953460 	0.010000 	
0.152176 	-1.460014 	159.623469 	0.010000 	
0.173415 	-1.173141 	32.529108 	0.010000 	
0.208222 	-1.626258 	121.101678 	0.010000 	
0.105085 	0.053357 	159.348367 	0.010000 	
0.497247 	0.050471 	149.723501 	0.010000 	
0.441892 	-1.361714 	44.074707 	0.010000 	
0.320465 	-1.355807 	29.744971 	0.010000 	
0.545002 	-0.241031 	110.473334 	0.010000 	
0.611932 	-1.118695 	55.955578 	0.010000 	
0.466213 	-0.846277 	57.223391 	0.010000 	
0.309650 	-0.763273 	41.489967 	0.010000 	
0.158394 	-0.637133 	38.665873 	0.010000 	
0.108987 	-1.186761 	104.046517 	0.010000 	
0.468353 	-0.738969 	52.355050 	0.010000 	
0.264930 	-1.189277 	57.930528 	0.010000 	
0.178677 	-2.058024 	178.470080 	0.010000 	
0.413797 	-1.604735 	24.450522 	0.010000 	
0.226625 	-0.358884 	54.132847 	0.010000 	
0.342180 	-1.584176 	39.697646 	0.010000 	
0.123340 	-1.310697 	81.818903 	0.010000 	
0.132786 	-0.514400 	47.208139 	0.010000 	
0.081334 	-0.602381 	39.227161 	0.010000 	
0.199646 	-0.585797 	32.325380 	0.010000 	
0.534201 	-0.555508 	90.161961 	0.010000 	
0.895902 	-1.411347 	116.519584 	0.010000 	
0.183626 	-1.956509 	122.707554 	0.010000 	
0.331104 	-1.057563 	35.238579 	0.010000 	
0.255627 	-1.245092 	56.592981 	0.010000 	
0.277476 	0.151668 	195.053432 	0.010000 	
0.922721 	-0.971961 	140.833223 	0.010000 	
0.242058 	-0.321654 	32.531948 	0.010000 	
0.057593 	-0.745568 	37.409396 	0.010000 	
0.454090 	-1.516030 	20.986394 	0.010000 	
0.159476 	-1.611687 	121.554799 	0.010000 	
0.236591 	-1.132581 	58.200739 	0.010000 	
0.793294 	-2.454379 	95.561735 	0.010000 	
0.405957 	-1.821525 	36.458699 	0.010000 	
0.542882 	-0.415774 	101.227794 	0.009796 	
0.314403 	-0.367645 	95.615107 	0.010043 	
0.495601 	-1.588323 	33.318785 	0.009036 	
0.700776 	-2.190642 	43.860105 	0.001941 	
0.880976 	-1.085615 	101.348625 	0.012970 	
0.686696 	-1.471915 	66.117514 	0.010140 	
0.051708 	-0.902580 	59.794094 	0.019413 	
0.239192 	-0.604986 	54.347378 	0.014342 	
0.643214 	-1.032560 	79.691245 	0.014276 	
0.212543 	-1.269149 	49.902798 	0.015395 	
0.642043 	-1.260860 	56.797049 	0.012845 	
0.361728 	-0.450981 	84.135667 	0.011163 	
0.356861 	-1.071458 	27.601727 	0.015940 	
0.264791 	-1.333332 	52.127344 	0.014085 	
0.170561 	-0.436623 	54.899050 	0.012115 	
0.496061 	-0.898205 	52.453560 	0.015098 	
0.643504 	-1.345808 	57.019380 	0.011907 	
0.543495 	-1.409186 	43.275898 	0.011494 	
0.357576 	-1.534861 	37.336333 	0.010392 	
0.319430 	-1.298002 	32.130797 	0.014170 	
0.038095 	-0.742989 	38.484531 	0.018389 	
0.298460 	-1.115946 	61.055833 	0.016156 	
0.466568 	-1.316817 	23.333045 	0.013055 	
0.250165 	-0.927899 	29.166432 	0.017065 	
0.392752 	-2.107133 	63.693080 	0.002708 	
0.167613 	-1.249279 	77.239231 	0.016085 	
0.692752 	-1.229712 	79.201908 	0.012911 	
0.899813 	-2.588229 	77.656202 	0.000423 	
0.545443 	-0.758739 	67.438917 	0.014011 	
0.361830 	-1.766309 	56.259274 	0.006729 	
0.381026 	-0.828400 	70.788561 	0.015570 	
0.509135 	-1.562795 	31.955625 	0.009381 	
0.367844 	-0.413639 	70.595085 	0.010533 	
0.221332 	-1.273681 	54.509932 	0.015257 	
0.383344 	-2.579993 	35.043471 	0.000468 	
